source,name,total_pnl,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS
refine_results.csv,refine_winds_lag78_k0p15,283385.5,49924.5,64382.0,49082.0,77184.0,42813.0
refine_results.csv,refine_winds_lag80_k0p15,283179.5,49924.5,64382.0,49082.0,76978.0,42813.0
refine_results.csv,refine_winds_lag72_k0p15,283088.5,49924.5,64382.0,49082.0,76887.0,42813.0
refine_results.csv,refine_winds_lag75_k0p15,282784.5,49924.5,64382.0,49082.0,76583.0,42813.0
refine_results.csv,refine_winds_lag74_k0p15,282784.5,49924.5,64382.0,49082.0,76583.0,42813.0
refine_results.csv,refine_winds75_obneg20,282690.5,50457.5,64382.0,49082.0,75956.0,42813.0
refine_results.csv,refine_winds75_rings500,282651.5,49924.5,64382.0,49082.0,76450.0,42813.0
refine_results.csv,refine_winds_lag70_k0p15,282533.5,49924.5,64382.0,49082.0,76332.0,42813.0
refine_results.csv,refine_winds_lag76_k0p15,282513.5,49924.5,64382.0,49082.0,76312.0,42813.0
refine_results.csv,refine_winds_lag74_k0p1,282473.5,49924.5,64382.0,49082.0,76272.0,42813.0
refine_results.csv,refine_winds_lag72_k0p1,282290.5,49924.5,64382.0,49082.0,76089.0,42813.0
refine_results.csv,refine_winds_lag75_k0p1,282157.5,49924.5,64382.0,49082.0,75956.0,42813.0
variant_results.csv,hybrid_add_winds75_to_flames,282157.5,49924.5,64382.0,49082.0,75956.0,42813.0
refine_results.csv,refine_winds_lag76_k0p1,282097.5,49924.5,64382.0,49082.0,75896.0,42813.0
variant_results.csv,hybrid_add_rings_to_flames,281544.5,49924.5,64382.0,49082.0,75343.0,42813.0
refine_results.csv,refine_winds_lag78_k0p1,281469.5,49924.5,64382.0,49082.0,75268.0,42813.0
variant_results.csv,hybrid_orderbook_neg50,281111.5,50904.5,64382.0,49082.0,73930.0,42813.0
refine_results.csv,refine_winds_lag70_k0p1,280970.5,49924.5,64382.0,49082.0,74769.0,42813.0
refine_results.csv,refine_winds_lag80_k0p1,280853.5,49924.5,64382.0,49082.0,74652.0,42813.0
variant_results.csv,hybrid_orderbook_neg20,280664.5,50457.5,64382.0,49082.0,73930.0,42813.0
variant_results.csv,hybrid_current,280131.5,49924.5,64382.0,49082.0,73930.0,42813.0
refine_results.csv,refine_winds_lag80_k0p05,280052.5,49924.5,64382.0,49082.0,73851.0,42813.0
refine_results.csv,refine_winds_lag72_k0p05,280052.5,49924.5,64382.0,49082.0,73851.0,42813.0
refine_results.csv,refine_winds_lag74_k0p05,280052.5,49924.5,64382.0,49082.0,73851.0,42813.0
refine_results.csv,refine_winds_lag78_k0p05,280052.5,49924.5,64382.0,49082.0,73851.0,42813.0
refine_results.csv,refine_winds_lag76_k0p05,279852.5,49924.5,64382.0,49082.0,73651.0,42813.0
refine_results.csv,refine_winds_lag75_k0p05,279852.5,49924.5,64382.0,49082.0,73651.0,42813.0
refine_results.csv,refine_winds_lag70_k0p05,279852.5,49924.5,64382.0,49082.0,73651.0,42813.0
variant_results.csv,hybrid_flames_k_m0p75,275813.5,49924.5,64382.0,49082.0,69612.0,42813.0
variant_results.csv,hybrid_flames_k_m1p5,273150.5,49924.5,64382.0,49082.0,66949.0,42813.0
variant_results.csv,hybrid_flames_k_m1p75,272322.5,49924.5,64382.0,49082.0,66121.0,42813.0
variant_results.csv,hybrid_no_flames_signal,272233.5,49924.5,64382.0,49082.0,66032.0,42813.0
variant_results.csv,hybrid_flames_k_m1p0,271523.5,49924.5,64382.0,49082.0,65322.0,42813.0
variant_results.csv,hybrid_flames_only,270990.5,45323.5,63016.0,46683.0,73930.0,42038.0
variant_results.csv,static_shift_nosig,263092.5,45323.5,63016.0,46683.0,66032.0,42038.0
variant_results.csv,pair_dark_rings_blend0p25,238639.5,45323.5,52264.0,32982.0,66032.0,42038.0
variant_results.csv,basket_blend0p25,235028.0,27395.0,57522.0,42842.0,64599.0,42670.0
variant_results.csv,meanrev_tighter_no_sig,214067.5,45323.5,48965.0,33522.0,52407.0,33850.0
variant_results.csv,meanrev_looser_no_sig,205837.5,45323.5,61570.0,27848.0,46466.0,24630.0
variant_results.csv,pair_dark_rings_blend1,200131.5,45323.5,36055.0,10683.0,66032.0,42038.0
variant_results.csv,static_no_shift_nosig,190761.0,2002.0,50714.0,44778.0,51229.0,42038.0
variant_results.csv,basket_blend1,160544.0,27490.0,26382.0,2180.0,60939.0,43553.0
variant_results.csv,hybrid_passive_only,89519.5,49924.5,39595.0,0.0,0.0,0.0
variant_results.csv,leadlag_mid_only,61768.5,30218.5,4567.0,7349.0,2083.0,17551.0
variant_results.csv,momentum_self50_p0p2,55756.0,15507.0,-1206.0,28108.0,6530.0,6817.0
variant_results.csv,mm_mid_edge0,41145.5,14942.5,7557.5,18163.0,-8237.0,8719.5
variant_results.csv,reversal_self50_m0p2,40378.5,14652.0,14590.5,22712.5,-19698.5,8122.0
variant_results.csv,mm_mid_edge2,40097.5,14942.5,7557.5,18163.0,-8237.0,7671.5
