leader_category,leader,edge_count,score_sum,avg_oos_edge,unique_followers
microchips,MICROCHIP_CIRCLE,117,15.84069521012662,0.09975604682871178,46
oxygen_shakes,OXYGEN_SHAKE_EVENING_BREATH,138,14.287236760754343,0.08264772532996507,46
pebbles,PEBBLES_M,120,14.158811911111309,0.09296186192268707,46
snackpacks,SNACKPACK_RASPBERRY,128,13.699389256679005,0.08477650201012327,48
translators,TRANSLATOR_GRAPHITE_MIST,126,13.568753287465782,0.08436750823591552,46
robotics,ROBOT_LAUNDRY,112,13.498037717788446,0.09316951890590355,46
galaxy_sounds,GALAXY_SOUNDS_SOLAR_WINDS,125,13.277472477925459,0.08348209220917,48
pebbles,PEBBLES_XL,126,13.1940199844776,0.08425198751111924,47
translators,TRANSLATOR_VOID_BLUE,124,13.065837764215807,0.08352907914564559,46
snackpacks,SNACKPACK_STRAWBERRY,122,12.96902281327737,0.08249811426662283,47
oxygen_shakes,OXYGEN_SHAKE_GARLIC,124,12.824898115267938,0.08072225687587904,47
snackpacks,SNACKPACK_PISTACHIO,114,12.706177741648112,0.08661375769842611,44
panels,PANEL_4X4,111,12.665454467197412,0.08980451778027114,46
panels,PANEL_1X4,112,12.595484969571737,0.08780876566366526,47
galaxy_sounds,GALAXY_SOUNDS_SOLAR_FLAMES,114,12.519741920358747,0.08618874239647308,43
translators,TRANSLATOR_ASTRO_BLACK,122,12.482814992010052,0.0808441178345927,47
panels,PANEL_2X4,111,12.440724735952159,0.08634687636944659,46
pebbles,PEBBLES_XS,114,12.231566192893997,0.08384187962649554,45
sleep_pods,SLEEP_POD_SUEDE,115,12.091716182852387,0.08179759901464806,48
sleep_pods,SLEEP_POD_LAMB_WOOL,112,11.967916788144551,0.08404211819627837,44
pebbles,PEBBLES_S,108,11.926646501882452,0.0862110909285666,45
translators,TRANSLATOR_SPACE_GRAY,115,11.806400159998772,0.08195005301544851,47
uv_visors,UV_VISOR_MAGENTA,114,11.697756508375063,0.08055797398900807,48
panels,PANEL_1X2,103,11.557859317514174,0.08813727841369015,47
snackpacks,SNACKPACK_VANILLA,110,11.532608391704173,0.08265539771482623,46
uv_visors,UV_VISOR_YELLOW,112,11.514626062091118,0.08069483653428987,48
microchips,MICROCHIP_OVAL,109,11.46090611867028,0.08165755387944165,46
pebbles,PEBBLES_L,115,11.263738764052125,0.07735036294865354,44
oxygen_shakes,OXYGEN_SHAKE_MINT,117,11.229857698249846,0.0760622777345128,44
uv_visors,UV_VISOR_AMBER,124,11.147816524479067,0.07333659469285038,48
galaxy_sounds,GALAXY_SOUNDS_PLANETARY_RINGS,99,11.013169308271594,0.08648908036725535,46
sleep_pods,SLEEP_POD_NYLON,116,10.954094205429625,0.07662916733788996,48
translators,TRANSLATOR_ECLIPSE_CHARCOAL,108,10.746205481877352,0.07757084452470675,44
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,122,10.663146163080324,0.07125409048598297,43
snackpacks,SNACKPACK_CHOCOLATE,103,10.654988348791717,0.08099421253063155,45
oxygen_shakes,OXYGEN_SHAKE_MORNING_BREATH,104,10.631541950982907,0.0795458046472606,47
uv_visors,UV_VISOR_RED,97,10.601147150025442,0.08521361524011928,45
robotics,ROBOT_VACUUMING,105,10.56982792482522,0.08212765919619675,44
uv_visors,UV_VISOR_ORANGE,93,10.126810953265966,0.08556104549353334,44
oxygen_shakes,OXYGEN_SHAKE_CHOCOLATE,109,10.044797761099192,0.07296004647164259,44
microchips,MICROCHIP_TRIANGLE,100,10.000381187925573,0.0798870285430347,46
robotics,ROBOT_MOPPING,95,9.987120050830146,0.08247974672301436,43
sleep_pods,SLEEP_POD_COTTON,103,9.943838957302594,0.07776340069877043,43
panels,PANEL_2X2,106,9.893838300705834,0.07451142705990273,45
sleep_pods,SLEEP_POD_POLYESTER,102,9.802064426274127,0.07670075560322237,45
microchips,MICROCHIP_RECTANGLE,106,9.71094146786906,0.07316922103722451,45
microchips,MICROCHIP_SQUARE,92,9.684606722306947,0.08273278480911074,44
galaxy_sounds,GALAXY_SOUNDS_DARK_MATTER,94,9.404196465464823,0.0786183925105928,42
robotics,ROBOT_IRONING,95,7.858628250171005,0.06834738682910295,43
robotics,ROBOT_DISHES,69,6.845765353564178,0.07854510292101351,38
