score,asset_vol_threshold_multiplier,voucher_vol_threshold_multiplier,spread_threshold_multiplier,risk_aversion,min_edge,total_pnl,sharpe_ratio,max_drawdown,win_rate,trade_count,turnover,mean_gross_exposure,max_gross_exposure,max_abs_position
-6799.15,0.25,0.04,0.5,0.0,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.5,0.0,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.9,0.2,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.9,0.2,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.9,0.0,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.9,0.0,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.5,0.2,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.5,0.2,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.5,0.0,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.6,0.04,0.5,0.0,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.9,0.0,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.5,0.2,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.9,0.2,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.9,0.2,0.25,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.9,0.0,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-6799.15,0.25,0.04,0.5,0.2,0.5,-3626.0,-0.04018177976246438,63463.0,0.46402877697841727,186.0,477946.0,818.3210735586481,30408.0,47.0
-7966.6,0.6,0.12,0.9,0.2,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.9,0.0,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.9,0.0,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.5,0.2,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.5,0.2,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.5,0.0,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.5,0.0,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.5,0.2,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.5,0.2,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.5,0.0,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.5,0.0,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.9,0.2,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.9,0.2,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.9,0.0,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.25,0.12,0.9,0.0,0.25,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
-7966.6,0.6,0.12,0.9,0.2,0.5,-4709.0,-0.05284729552716218,65152.0,0.4642857142857143,149.0,381343.0,715.7385685884692,30408.0,47.0
