name,thr,total,d1,d2,d3,rc,size,err
full_thr075,0.75,916667.0,302639.0,266172.5,347855.5,0,93726,
full_thr1,1,913362.0,301031.5,263551.5,348779.0,0,93723,
full_thr05,0.5,899648.5,302235.0,256253.5,341160.0,0,93725,
tier_c_thr075,0.75,895982.5,295786.0,258313.5,341883.0,0,93744,
tier_a_thr075,0.75,892335.5,296339.5,256085.5,339910.5,0,93757,
tier_a_thr05,0.5,884482.0,298675.0,249102.0,336705.0,0,93756,
lin2_thr075,0.75,882054.0,292714.0,251595.5,337744.5,0,93744,
low_tier_thr0,0,846412.0,281376.5,241924.0,323111.5,0,93774,
tier_b_thr075,0.75,844910.5,277609.0,240845.0,326456.5,0,93773,
tier_a_thr1,1,844540.5,277590.5,240600.0,326350.0,0,93754,
tier_b_thr05,0.5,843452.5,278892.0,239109.0,325451.5,0,93772,
lin3_thr075,0.75,832617.5,273021.5,237620.5,321975.5,0,93744,
